trait_id,trait_label,roi,output_type,classes_or_scale,reference_frame,model_type,primary_input_features,human_annotation_protocol,validation_metric,notes
capitulum_bbox,capitulum detection box,ROI-A source,detector_output,xyxy box + confidence,image frame,YOLO detector (extends models/best.pt),raw photo,not a trait; QC by conf threshold and manual spot check,precision/recall of detection vs manually boxed test images,Upstream prerequisite for all ROI-A traits. One or more capitula per photo allowed.
involucre_bbox,involucral bract region box,ROI-A source,detector_output,xyxy box + confidence,image frame,YOLO detector (new class added to detector),raw photo,manual box on subset,precision/recall vs manual boxes,New detection class not present in current best.pt; needed to separate involucre from corolla region.
pedicel_keypoint,pedicel attachment point,ROI-A source,keypoint,(x,y) pixel,image frame,YOLO-pose keypoint head OR manual geometric rule from box edges,raw photo,manual point annotation on subset,pixel distance error (PCK-style),Used with capitulum apex point to define the orientation vector.
capitulum_apex_keypoint,capitulum apex/centre point,ROI-A source,keypoint,(x,y) pixel,image frame,YOLO-pose keypoint head,raw photo,manual point annotation on subset,pixel distance error (PCK-style),Paired with pedicel_keypoint for head_angle_deg.
head_orientation_class,capitulum orientation (discrete),ROI-A,classification,upright (<=30 deg from vertical) | inclined (30-60 deg) | nodding (>60 deg),gravity frame (image up = up),CNN classifier (extends 03_train_head_direction_classifier.py; MobileNetV3),ROI-A RGB crop,two independent annotators label class from photo; disagreement adjudicated by a third,Cohen's kappa (annotators); accuracy / macro-F1 vs adjudicated label; per-species LOSO accuracy,Requires camera-tilt screening: photos with visibly tilted horizon/plant are flagged and either excluded or kept as sensitivity subset.
head_angle_deg,capitulum angle from vertical (continuous),ROI-A,regression,0-180 degrees,gravity frame,geometric estimate from pedicel_keypoint/capitulum_apex_keypoint vector (primary); CNN angle regression as fallback when keypoints fail,two keypoints,independent double-annotation of both keypoints on subset; protractor-on-photo angle for a calibration subset,MAE and Spearman r vs human/protractor angle,Continuous companion to head_orientation_class; thresholds above define the discrete class boundaries.
flower_colour_class,corolla colour class,ROI-B,classification,white | pale (pink/lilac/pale purple) | dark (purple/magenta/crimson),corolla pixel frame,deterministic colour clustering in CIELAB space (k-means or percentile rule) on ROI-B pixels; CNN classifier as fallback,ROI-B RGB crop (corolla-only),annotators pick class from ROI-B crop shown without ROI-A context,weighted Cohen's kappa (ordinal),ROI-B excludes involucre/leaf green to avoid contaminating colour estimate. No absolute colour calibration for citizen-science photos; treat as relative/ordinal only.
flower_colour_continuous,corolla colour continuous axis,ROI-B,continuous,CIELAB L*/a*/b* (or hue-chroma-lightness) summary of corolla pixels,corolla pixel frame,deterministic pixel statistics (median/robust mean per channel after simple grey-world white balance),ROI-B RGB crop,ranking subtask (order N images by darkness/hue) for a calibration subset; spectrometer or standard colour chart subset if available,Spearman r vs human ranking; agreement with flower_colour_class thresholds,White-balance correction is per-image only (no cross-photo colour calibration); report as descriptive axis, not absolute colour.
involucral_cover_ratio,proportion of head apex covered by involucral bracts,ROI-A,continuous,0-1 proportion of apex-facing area that is involucre (vs exposed corolla),head-axis-normalized frame (near-lateral view only),semantic segmentation (involucre / corolla / background) trained on manually annotated masks,ROI-A RGB crop,polygon segmentation of involucre vs corolla vs background on a labelled subset; independent 0-4 ordinal cover score for a larger subset,Dice/IoU for segmentation; Spearman r of derived ratio vs human ordinal cover score,Requires an automatic or annotated view-angle qualifier (near-lateral vs near-frontal vs oblique); frontal/oblique photos are flagged and analysed as a separate sensitivity subset because cover appears different by viewing angle.
head_shape_aspect_ratio,capitulum width:height ratio,ROI-A,continuous,width/height of the oriented bounding shape (head-axis aligned),head-axis frame (rotated to capitulum long axis, not image axis),deterministic geometric measure from the segmentation mask / oriented bounding box,segmentation mask from involucral_cover_ratio model,human relative shape estimate (globose/depressed/cylindrical) plus width/height ratio scored from photo on a subset,Spearman r vs human relative estimate; agreement of derived class (below) with human class,Rotated to the head's own long axis so shape is independent of how the photo was framed.
head_shape_class,capitulum shape class,ROI-A,classification,globose | depressed (oblate) | cylindrical (elongate),head-axis frame,deterministic thresholding of head_shape_aspect_ratio + mask convexity,segmentation mask + aspect ratio,annotators assign one of three classes from ROI-A crop,macro-F1 vs human class; kappa,Thresholds fixed a priori from a calibration subset before touching the full global sample (avoid circular threshold-fitting).
corolla_involucre_display_ratio,relative display allocation between corolla and involucre,ROI-A,continuous,exposed_corolla_area / (exposed_corolla_area + involucre_area); alternative denominator = full head bbox area,head-axis frame,deterministic, derived from the same segmentation masks as involucral_cover_ratio,segmentation mask,human ordinal "how much colour shows" rating (0-4) on a subset independent of the cover-score wording used for involucral_cover_ratio,Spearman r vs human ordinal rating; correlation/redundancy check against involucral_cover_ratio (expected to be related but not identical),Kept as a separate axis from involucral_cover_ratio because cover asks "how enclosed" while this asks "how much corolla is visually dominant"; report their correlation explicitly rather than assuming redundancy.
