trait_id,trait_label,organ,measurement_scale,unit_or_levels,candidate_roles,primary_endpoint,secondary_endpoint,minimum_measurement,mechanistic_evidence_required,notes
head_orientation,capitulum orientation,capitulum,categorical,upright|inclined|nodding,A|D|X,pollinator handling;floral damage;rain exposure,seed set;selfing;fruit set,photograph plus protractor angle,manipulation or linked outcome panel,Central focal trait; do not assign a single role a priori.
head_angle,capitulum angle from horizontal,capitulum,continuous,degrees,A|D|X,pollinator handling;floral damage;rain exposure,seed set;selfing;fruit set,three photographs or direct measurement,manipulation or linked outcome panel,Use alongside categorical orientation where feasible.
capitulum_diameter,head display diameter,capitulum,continuous,mm,A,visitation;handling,floral damage;seed set,caliper at standard anthesis stage,visitor or damage outcome measurement,Measure perpendicular diameters and retain both raw values.
capitulum_number,open capitula per plant,inflorescence,count,number,A,visitation,fruit set;resource cost,count at standard census date,visitor or fitness outcome measurement,Record total buds and open heads separately when feasible.
inflorescence_height,capitulum display height,inflorescence,continuous,cm,A|X,visitation;wind exposure,floral damage;seed set,ground to head centre,interaction or abiotic outcome measurement,Measure each focal capitulum and parent-plant height.
flower_colour,floret or corolla colour,floret,continuous_or_categorical,reflectance|standardised image values|colour class,A|D,visitation;floral antagonism,handling;seed set,standardised photograph or spectrometry,visitor or damage outcome measurement,Store method and illumination calibration.
flowering_stage,anthesis stage,capitulum,ordinal,bud|early|peak|late,covariate,all interaction outcomes,fitness outcomes,standard field score,not applicable,Required covariate for all repeated observations.
corolla_tube_length,corolla tube length,floret,continuous,mm,A|D,visitor guild;handling,nectar access;damage,caliper on sampled florets,handling or antagonist outcome measurement,Use a fixed number of florets per head.
involucral_spines,spine development on involucral bracts,involucre,ordinal_or_continuous,score|spine length mm,D,floral antagonism,pollinator obstruction;seed set,standard score plus representative length,damage and pollination outcome measurement,Separate spine length from bract density where possible.
involucral_trichomes,bract hairiness,involucre,ordinal_or_continuous,score|density,D|X,floral antagonism;water shedding,pollinator obstruction;seed set,standardised image or quadrat count,damage or abiotic outcome measurement,Record glandular versus non-glandular hairs.
floral_mucilage,bract or inflorescence mucilage,involucre,categorical_or_ordinal,absent|present|quantity,D,floral antagonist access,pollinator contact;seed set,standardised visual score plus photograph,damage outcome measurement,Record weather conditions and phenological stage.
involucral_cover,bract enclosure of florets,involucre,continuous_or_ordinal,exposure score|proportion,D|X,floral antagonist access;rain exposure,pollinator access;seed set,standardised side-view image,interaction or abiotic outcome measurement,Potentially correlated with orientation; retain both.
floral_damage,damage to florets or reproductive structures,capitulum,continuous_or_count,proportion|count,O,floral antagonism,seed set,standardised score and photo,identify antagonist where possible,Outcome rather than trait.
pollinator_visitation,visitor visits per observation effort,interaction,count_rate,visits per head-hour,O,pollination,handling;seed set,standardised timed observation,identify visitor to finest feasible taxon,Separate legitimate visits from other contacts.
legitimate_handling,contact with anthers or stigma,interaction,proportion,legitimate contacts per visit,O,pollination,pollen deposition;seed set,video or direct scoring,predeclared contact criterion,Do not infer from visitation count alone.
fruit_set,fruits per flower or head,reproductive outcome,proportion,0_to_1,O,fitness,seed set,count mature fruits and available flowers,not applicable,Retain denominator and loss stage.
seed_set,seeds per fruit or head,reproductive outcome,count,number,O,fitness,offspring quality,count mature seeds,not applicable,Distinguish filled from aborted seeds where feasible.
selfing_rate,proportion selfed offspring,reproductive outcome,proportion,0_to_1,O,mating system,paternal contribution,genetic marker protocol,calibrated parentage or progeny assay,Optional advanced outcome; do not substitute for direct pollination measures.
