trait,label,n_heads,n_photos,n_taxa,total_ss,among_species_ss,among_photos_within_species_ss,among_heads_within_photo_ss,among_species_fraction,among_photos_within_species_fraction,among_heads_within_photo_fraction,within_assigned_species_fraction,among_species_ci95_low,among_species_ci95_high,among_photos_within_species_ci95_low,among_photos_within_species_ci95_high,among_heads_within_photo_ci95_low,among_heads_within_photo_ci95_high,within_assigned_species_ci95_low,within_assigned_species_ci95_high,one_head_per_photo_n_heads,one_head_per_photo_n_photos,one_head_per_photo_n_taxa,one_head_per_photo_within_assigned_species_fraction,one_head_per_photo_among_species_fraction,balanced_n_taxa,balanced_photos_per_species,balanced_repeats,balanced_within_assigned_species_median,balanced_within_assigned_species_ci95_low,balanced_within_assigned_species_ci95_high
orientation_angle_degrees,Orientation,4585,2839,214,10656089.845398823,1401099.2650454182,6033068.4686430255,3221922.11171038,0.13148343204429688,0.566161561714688,0.3023550062410152,0.8685165679557032,0.10978695127685768,0.15241323344086175,0.5384116736787514,0.597196566549337,0.2735931080144423,0.33007760768948147,0.8475867665591382,0.8902130487231423,2839,2839,214,0.8471071018109424,0.15289289818905774,116,10,500,0.8221244240623602,0.7958360080205406,0.8465976054398064
corolla_lab_lightness,Lightness,5777,3327,215,963159.724105055,286041.0935552188,539150.0046783306,137968.62587150565,0.2969819920792487,0.5597721657010689,0.1432458422196825,0.7030180079207513,0.2527968139465879,0.33688587993045893,0.5205244849825545,0.6006965949760711,0.12947196783349502,0.15875564324869712,0.6631141200695411,0.7472031860534121,3327,3327,215,0.706216630967393,0.2937833690326069,123,10,500,0.6634773948704359,0.6302576653971728,0.6926080912380547
corolla_lab_chroma,Chroma,5777,3327,215,1327102.480348217,397993.88742814807,693991.2445331265,235117.34838694247,0.2998968755779274,0.5229371919725678,0.17716593244950476,0.7001031244220726,0.25382646962251554,0.34598371838633696,0.4892931262162913,0.5604766588108097,0.15094958529968563,0.2045599273379642,0.654016281613663,0.7461735303774845,3327,3327,215,0.6811821659678557,0.3188178340321441,123,10,500,0.6430530415538227,0.612557409486009,0.6738389297279833
corolla_hue_sin,Hue sine,5772,3325,215,2950.3349870000243,1213.707202618007,1298.0219380799394,438.60584630207796,0.41137945621969363,0.43995747730321333,0.14866306647709301,0.5886205437803064,0.3545093708178565,0.462936339846124,0.4003861343121584,0.4836587536858943,0.12453963199645189,0.1752438936808825,0.537063660153876,0.6454906291821434,3325,3325,215,0.5815708655068837,0.41842913449311625,123,10,500,0.5284185457672588,0.4970966320425797,0.5580662817890345
corolla_hue_cos,Hue cosine,5772,3325,215,692.5647431485543,108.96617527392891,478.3687105064459,105.22985736817952,0.15733716789934224,0.6907205647398028,0.15194226736085503,0.8426628321006577,0.12295315674042087,0.1986907537173839,0.6543485966060995,0.725819869491839,0.13169123265667332,0.17395061788954894,0.8013092462826159,0.8770468432595792,3325,3325,215,0.8275367943294771,0.17246320567052292,123,10,500,0.8085814927150183,0.7770480407658553,0.8328981626250398
shape_aspect_ratio,Aspect ratio,5324,3147,215,209.70518635832173,15.212803892747,115.09870961903047,79.39367284654425,0.07254376564036424,0.5488596234447065,0.3785966109149292,0.9274562343596358,0.05702509370511177,0.09041051408081117,0.5166205617488673,0.581587519830577,0.3405702335732899,0.4159640916192409,0.909589485919189,0.9429749062948881,3147,3147,215,0.8940061973542781,0.10599380264572172,124,10,500,0.8593653279723212,0.8315898696695033,0.8854970036630727
shape_circularity,Circularity,5324,3147,215,87.77102246520701,8.620623275982854,51.054365132296134,28.09603405692801,0.09821719098008827,0.5816767732486472,0.3201060357712644,0.9017828090199116,0.07642588910671173,0.12213831625823697,0.5553363855888787,0.6085192958085416,0.29234856860576225,0.34756678818140885,0.877861683741763,0.9235741108932882,3147,3147,215,0.8835018744526393,0.11649812554736064,124,10,500,0.8666474088301777,0.8429552036589331,0.8854695058133083
shape_solidity,Solidity,5324,3147,215,32.66141773245323,2.783705737374946,19.15299398606315,10.724718009015128,0.08522917652190534,0.5864103678216099,0.3283604556564846,0.9147708234780945,0.06854661298580583,0.10355922210222528,0.5612894715600774,0.6122204270921529,0.3012286957735405,0.3563417244346599,0.8964407778977748,0.9314533870141941,3147,3147,215,0.8872219593469821,0.11277804065301786,124,10,500,0.8595861004485084,0.8365730966370126,0.879709608343072
shape_width_cv,Width-profile CV,5324,3147,215,48.57069089134339,3.3639881239020575,29.002261207669356,16.204441559771972,0.06925963090431582,0.597114446499223,0.3336259225964612,0.9307403690956841,0.052446498303715276,0.08882618101148139,0.5703076484958662,0.6234536896661222,0.3047027602278382,0.3634674400442264,0.9111738189885187,0.9475535016962847,3147,3147,215,0.8985099254849123,0.10149007451508778,124,10,500,0.8791369865510499,0.8589046916691848,0.8961823263153047
